"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.477022610E-1,9.510000348E-1,1.089000106E0,9.940950394E0,1.004553717E1
5.501678610E-1,9.390000701E-1,1.054949999E0,9.924000740E0,1.002399278E1
5.526336300E-1,8.890500665E-1,1.066950083E0,9.900000572E0,9.996939723E0
5.550991690E-1,9.030000567E-1,1.033950090E0,9.972000122E0,1.006604432E1
5.575644770E-1,9.010500312E-1,1.102950096E0,9.946050644E0,1.004750285E1
5.600302460E-1,8.839500546E-1,1.101000071E0,9.895050049E0,9.995278101E0
5.624955400E-1,9.079500437E-1,1.084050059E0,9.915000916E0,1.001532730E1
5.649613860E-1,9.049500227E-1,1.089000106E0,9.964950562E0,1.006504324E1
5.674271550E-1,8.980500698E-1,1.078950047E0,9.871950150E0,9.971260045E0
5.698927700E-1,8.980500698E-1,1.060050011E0,9.916950226E0,1.001379557E1
5.723583090E-1,8.980500698E-1,1.098000050E0,9.934050560E0,1.003481233E1
5.748240680E-1,9.010500312E-1,1.093950033E0,9.951000214E0,1.005141896E1
5.772899140E-1,9.390000701E-1,1.078950047E0,9.931050301E0,1.003352453E1
5.797552220E-1,9.220500588E-1,1.077000022E0,9.907050133E0,1.000798420E1
5.822206830E-1,9.270000458E-1,1.057950020E0,9.924000740E0,1.002319201E1
5.846862800E-1,9.030000567E-1,1.084050059E0,9.910050392E0,1.000997864E1
5.871518180E-1,9.360000491E-1,1.089000106E0,9.931050301E0,1.003432994E1
5.896173570E-1,9.240000248E-1,1.053000093E0,9.936000824E0,1.003427614E1
5.920831260E-1,9.150000215E-1,1.120050073E0,9.912000656E0,1.001696033E1
5.945486640E-1,9.079500437E-1,1.102950096E0,9.879000664E0,9.981759680E0
5.970142800E-1,9.199500680E-1,1.074000001E0,9.898050308E0,9.998559098E0
5.994797410E-1,9.220500588E-1,1.093950033E0,9.960000038E0,1.006223155E1
6.019455880E-1,8.689500690E-1,1.090950012E0,9.895050049E0,9.992860532E0
6.044111260E-1,9.010500312E-1,1.093950033E0,9.891000748E0,9.992022499E0
6.068763570E-1,9.439500570E-1,1.057950020E0,9.915000916E0,1.001586457E1
6.093419510E-1,9.120000601E-1,1.096050024E0,9.936000824E0,1.003778771E1
6.118071820E-1,9.340500236E-1,1.078950047E0,9.946050644E0,1.004791053E1
6.142727200E-1,9.150000215E-1,1.072050095E0,9.910050392E0,1.000977598E1
6.167381820E-1,9.150000215E-1,1.062000036E0,9.915000916E0,1.001360636E1
6.192031820E-1,9.169500470E-1,1.102950096E0,9.958050728E0,1.006081859E1
6.216686440E-1,9.390000701E-1,1.086000085E0,9.952950478E0,1.005596045E1
6.241338750E-1,8.860500455E-1,1.101000071E0,9.928950310E0,1.002902488E1
6.265991830E-1,8.550000191E-1,1.081950068E0,9.931050301E0,1.002633538E1
6.290647210E-1,9.030000567E-1,1.093950033E0,9.900000572E0,1.000110729E1
6.315302600E-1,9.270000458E-1,1.074000001E0,9.898050308E0,9.999210218E0
6.339957880E-1,9.409500360E-1,1.084050059E0,9.916950226E0,1.002030206E1
6.364610190E-1,8.959500194E-1,1.072050095E0,9.912000656E0,1.000998376E1
6.389264810E-1,8.929500580E-1,1.113000035E0,9.916950226E0,1.001908332E1
6.413917880E-1,9.100500345E-1,1.117050052E0,9.960000038E0,1.006367689E1
6.438573270E-1,9.340500236E-1,1.114950061E0,9.891000748E0,9.997372599E0
6.463232020E-1,9.169500470E-1,1.074000001E0,9.879000664E0,9.979425209E0
6.487886640E-1,9.079500437E-1,1.093950033E0,9.924000740E0,1.002531250E1
6.512542020E-1,9.010500312E-1,1.098000050E0,9.880950928E0,9.982519046E0
6.537198170E-1,8.790000677E-1,1.110000014E0,9.916950226E0,1.001751680E1
6.561852790E-1,8.959500194E-1,1.090950012E0,9.958050728E0,1.005761764E1
6.586508170E-1,9.319500327E-1,1.113000035E0,9.976950645E0,1.008200596E1
6.611160480E-1,9.319500327E-1,1.110000014E0,9.888000488E0,9.993657216E0
6.635813560E-1,9.150000215E-1,1.081950068E0,9.924000740E0,1.002465120E1
6.660471250E-1,8.910000324E-1,1.066950083E0,9.916950226E0,1.001389861E1
6.685124330E-1,9.340500236E-1,1.078950047E0,9.946050644E0,1.004791053E1
6.709782020E-1,9.240000248E-1,1.062000036E0,9.912000656E0,1.001146229E1
6.734435100E-1,9.289500713E-1,1.066950083E0,9.895050049E0,9.995666370E0
6.759090480E-1,9.220500588E-1,1.077000022E0,9.904950142E0,1.000590539E1
6.783745870E-1,8.890500665E-1,1.060050011E0,9.922050476E0,1.001804381E1
6.808401250E-1,9.150000215E-1,1.113000035E0,9.910050392E0,1.001424450E1
6.833058980E-1,8.980500698E-1,1.120050073E0,9.928950310E0,1.003220117E1
6.857714370E-1,8.809500337E-1,1.105949998E0,9.927000046E0,1.002718945E1
6.882369750E-1,9.390000701E-1,1.065000057E0,9.922050476E0,1.002312486E1
6.907025140E-1,9.079500437E-1,1.098000050E0,9.972000122E0,1.007326977E1
6.931678220E-1,8.890500665E-1,1.089000106E0,9.934050560E0,1.003303004E1
6.956330480E-1,9.199500680E-1,1.086000085E0,9.948000908E0,1.004929980E1
6.980985870E-1,9.319500327E-1,1.101000071E0,9.951000214E0,1.005500558E1
7.005641250E-1,9.340500236E-1,1.072050095E0,9.948000908E0,1.004910259E1
7.030298940E-1,9.289500713E-1,1.072050095E0,9.900000572E0,1.000111249E1
7.054951250E-1,9.240000248E-1,1.098000050E0,9.924000740E0,1.002722149E1
7.079603650E-1,9.030000567E-1,1.065000057E0,9.951000214E0,1.004848444E1
7.104256730E-1,9.220500588E-1,1.072050095E0,9.970050812E0,1.006982527E1
7.128909030E-1,9.649500251E-1,1.081950068E0,9.975000381E0,1.007980045E1
7.153563650E-1,9.199500680E-1,1.105949998E0,9.871950150E0,9.976213374E0
7.178216730E-1,8.929500580E-1,1.089000106E0,9.904950142E0,1.000456488E1
7.202871200E-1,9.319500327E-1,1.102950096E0,9.871950150E0,9.976995015E0
7.227526590E-1,9.049500227E-1,1.120050073E0,9.900000572E0,1.000417203E1
7.252179660E-1,9.460500479E-1,1.084050059E0,9.886050224E0,9.990203414E0
7.276835050E-1,9.390000701E-1,1.102950096E0,9.888000488E0,9.993536596E0
7.301489660E-1,8.740500212E-1,1.125000000E0,9.900000572E0,1.000197979E1
7.326142740E-1,9.079500437E-1,1.129050016E0,9.900000572E0,1.000545544E1
7.350797360E-1,9.240000248E-1,1.066950083E0,9.952950478E0,1.005253111E1
7.375450430E-1,9.079500437E-1,1.086000085E0,9.903000832E0,1.000365908E1
7.400105820E-1,8.860500455E-1,1.110000014E0,9.888000488E0,9.989481386E0
7.424758130E-1,9.010500312E-1,1.072050095E0,9.919050217E0,1.001742181E1
7.449413750E-1,9.460500479E-1,1.122000098E0,9.910050392E0,1.001813324E1
7.474071440E-1,9.120000601E-1,1.086000085E0,9.924000740E0,1.002481576E1
7.498724520E-1,9.079500437E-1,1.024049997E0,9.970050812E0,1.006354634E1
7.523382210E-1,9.270000458E-1,1.105949998E0,9.898050308E0,1.000269236E1
7.548035290E-1,9.049500227E-1,1.108050108E0,9.964950562E0,1.006712219E1
7.572689860E-1,9.580500722E-1,1.096050024E0,9.940950394E0,1.004697369E1
7.597346010E-1,9.460500479E-1,1.086000085E0,9.916950226E0,1.002099340E1
7.622000620E-1,9.100500345E-1,1.102950096E0,9.939000130E0,1.004133525E1
7.646659090E-1,9.409500360E-1,1.102950096E0,9.960000038E0,1.006496332E1
7.671315240E-1,9.220500588E-1,1.074000001E0,9.985950470E0,1.008577509E1
7.695970620E-1,9.199500680E-1,1.090950012E0,9.960000038E0,1.006171361E1
7.720626010E-1,9.100500345E-1,1.065000057E0,9.886050224E0,9.984808722E0
7.745280620E-1,9.079500437E-1,1.102950096E0,9.898050308E0,1.000061359E1
7.769936010E-1,9.079500437E-1,1.057950020E0,9.934050560E0,1.003140030E1
7.794592160E-1,9.240000248E-1,1.060050011E0,9.970050812E0,1.006873355E1
7.819247690E-1,8.980500698E-1,1.078950047E0,9.939000130E0,1.003764667E1
7.843906150E-1,9.169500470E-1,1.101000071E0,9.900000572E0,1.000315000E1
7.868561530E-1,9.220500588E-1,1.101000071E0,9.928950310E0,1.003226952E1
7.893219230E-1,9.600000381E-1,1.066950083E0,9.946050644E0,1.004907488E1
7.917875380E-1,9.220500588E-1,1.110000014E0,9.892950058E0,9.997636580E0
7.942533030E-1,9.079500437E-1,1.089000106E0,9.916950226E0,1.001779398E1
7.967192260E-1,8.839500546E-1,1.081950068E0,9.927000046E0,1.002483484E1
7.991849960E-1,9.199500680E-1,1.090950012E0,9.916950226E0,1.001910085E1
8.016505340E-1,9.169500470E-1,1.053000093E0,9.886050224E0,9.984167247E0
8.041160730E-1,8.910000324E-1,1.098000050E0,9.847950935E0,9.948950839E0
8.065816250E-1,9.120000601E-1,1.074000001E0,9.862050056E0,9.962191096E0
8.090472400E-1,9.240000248E-1,1.072050095E0,9.891000748E0,9.991744755E0
8.115124710E-1,9.289500713E-1,1.084050059E0,9.955050468E0,1.005689528E1
8.139782400E-1,8.809500337E-1,1.069950104E0,1.001805019E1,1.011346607E1
8.164437790E-1,8.910000324E-1,1.093950033E0,9.904950142E0,1.000493104E1
8.189091210E-1,9.049500227E-1,1.089000106E0,9.898050308E0,9.998812713E0
8.213746590E-1,9.270000458E-1,1.066950083E0,9.931050301E0,1.003112514E1
8.238401210E-1,9.360000491E-1,1.078950047E0,9.958050728E0,1.005997036E1
8.263057360E-1,9.220500588E-1,1.090950012E0,9.916950226E0,1.001929389E1
8.287715050E-1,9.240000248E-1,1.072050095E0,9.915000916E0,1.001550351E1
8.312370290E-1,9.049500227E-1,1.062000036E0,9.936000824E0,1.003348848E1
8.337026440E-1,9.100500345E-1,1.065000057E0,9.910050392E0,1.000857207E1
8.361681060E-1,9.240000248E-1,1.086000085E0,9.916950226E0,1.001893577E1
8.386336440E-1,9.270000458E-1,1.110000014E0,9.922050476E0,1.002688959E1
8.410991830E-1,9.079500437E-1,1.108050108E0,9.867000580E0,9.970448775E0
8.435644760E-1,8.980500698E-1,1.081950068E0,9.922050476E0,1.002118733E1
8.460300150E-1,9.030000567E-1,1.096050024E0,9.924000740E0,1.002509478E1
